"local_site","DateTime","mmt_num","SM"
"MRS1",2018-05-11 23:00:00,1,0.0954
"MRS1",2018-05-11 23:00:00,2,0.1601
"MRS1",2018-05-11 23:00:00,3,0.0569
"MRS1",2018-05-11 23:00:00,4,0.1506
"MRS1",2018-05-11 23:00:00,5,0.2392
"MRS1",2018-05-12 00:00:00,1,0.0962
"MRS1",2018-05-12 00:00:00,2,0.1601
"MRS1",2018-05-12 00:00:00,3,0.0569
"MRS1",2018-05-12 00:00:00,4,0.1499
"MRS1",2018-05-12 00:00:00,5,0.24
"MRS1",2018-05-12 01:00:00,1,0.0962
"MRS1",2018-05-12 01:00:00,2,0.1594
"MRS1",2018-05-12 01:00:00,3,0.0577
"MRS1",2018-05-12 01:00:00,4,0.1499
"MRS1",2018-05-12 01:00:00,5,0.24
"MRS1",2018-05-12 02:00:00,1,0.0969
"MRS1",2018-05-12 02:00:00,2,0.1594
"MRS1",2018-05-12 02:00:00,3,0.0569
"MRS1",2018-05-12 02:00:00,4,0.1499
"MRS1",2018-05-12 02:00:00,5,0.24
"MRS1",2018-05-12 03:00:00,1,0.0976
"MRS1",2018-05-12 03:00:00,2,0.1586
"MRS1",2018-05-12 03:00:00,3,0.0584
"MRS1",2018-05-12 03:00:00,4,0.1492
"MRS1",2018-05-12 03:00:00,5,0.24
"MRS1",2018-05-12 04:00:00,1,0.0969
"MRS1",2018-05-12 04:00:00,2,0.1586
"MRS1",2018-05-12 04:00:00,3,0.0577
"MRS1",2018-05-12 04:00:00,4,0.1485
"MRS1",2018-05-12 04:00:00,5,0.2385
"MRS1",2018-05-12 05:00:00,1,0.0976
"MRS1",2018-05-12 05:00:00,2,0.1594
"MRS1",2018-05-12 05:00:00,3,0.0577
"MRS1",2018-05-12 05:00:00,4,0.1477
"MRS1",2018-05-12 05:00:00,5,0.2392
"MRS1",2018-05-12 06:00:00,1,0.0983
"MRS1",2018-05-12 06:00:00,2,0.1623
"MRS1",2018-05-12 06:00:00,3,0.0584
"MRS1",2018-05-12 06:00:00,4,0.147
"MRS1",2018-05-12 06:00:00,5,0.2392
"MRS1",2018-05-12 07:00:00,1,0.0983
"MRS1",2018-05-12 07:00:00,2,0.1637
"MRS1",2018-05-12 07:00:00,3,0.0584
"MRS1",2018-05-12 07:00:00,4,0.1477
"MRS1",2018-05-12 07:00:00,5,0.2392
"MRS1",2018-05-12 08:00:00,1,0.0983
"MRS1",2018-05-12 08:00:00,2,0.1644
"MRS1",2018-05-12 08:00:00,3,0.0598
"MRS1",2018-05-12 08:00:00,4,0.1477
"MRS1",2018-05-12 08:00:00,5,0.24
"MRS1",2018-05-12 09:00:00,1,0.0991
"MRS1",2018-05-12 09:00:00,2,0.1659
"MRS1",2018-05-12 09:00:00,3,0.0598
"MRS1",2018-05-12 09:00:00,4,0.1485
"MRS1",2018-05-12 09:00:00,5,0.2407
"MRS1",2018-05-12 10:00:00,1,0.0983
"MRS1",2018-05-12 10:00:00,2,0.1659
"MRS1",2018-05-12 10:00:00,3,0.0598
"MRS1",2018-05-12 10:00:00,4,0.1485
